カテゴリ1,カテゴリ2,サービス名称,リスク値,使用率
業務,CMS,A-BiSU エビス,65,15
業務,CMS,Alfresco Content Services,60,35
業務,CMS,BiNDup,50,65
業務,CMS,Connecty CMS on Demand,50,45
業務,CMS,CREAM:クリーム,40,75
業務,CMS,dino,60,65
業務,CMS,ferret One,35,45
業務,CMS,HeartCore ハートコア,20,80
業務,CMS,LeadGrid,50,90
業務,CMS,microCMS,55,65
業務,CMS,Movable Type,40,45
業務,CMS,Movable Type premium,65,30
業務,CMS,RCMS,65,95
業務,CMS,Scrmbl.,20,75
業務,CMS,WebStation,70,80
業務,CMS,writeWired CMS Platform,45,60
業務,CMS,Discoveriez,20,20
業務,CMS,Hoshitorn,30,60
業務,MCM,ABook,20,80
業務,FAX（デジタル化）,Easyファクス,45,25
業務,FAX（デジタル化）,faximoSilver,60,50
業務,FAX（デジタル化）,FNX e-受信FAXサービス,40,50
業務,FAX（デジタル化）,InterFAXサービス,60,45
業務,FAX（デジタル化）,トランザクトノFAXサービス,50,80
業務,デジタル化,2nd STE,25,80
業務,デジタル化,HGPscanServPlus,15,30
業務,デジタル化,調達・購買デジタル化サービス,15,60
業務,デジタル化,Urumo OMO,55,30
業務,デジタル化,MORTGAGE GATEWAY,25,95
業務,PDF,AxelaNote,30,25
業務,PDF,SKYCOM,65,55
業務,RPA,Automation 360,55,90
業務,RPA,Autoジョブ名人,30,90
業務,RPA,batton,45,85
業務,RPA,BizRobo!,65,80
業務,RPA,BizteX cobit,15,70
業務,RPA,EzRobot,30,90
業務,RPA,HRRobo,70,55
業務,RPA,MICHIRU RPA,30,40
業務,RPA,Owlgarden RPA,20,100
業務,RPA,PINOKIO,70,100
業務,RPA,Power Automate,15,60
業務,RPA,RaQubo,70,25
業務,RPA,RoboTANGO,45,20
業務,RPA,Robotic Crowd,55,50
業務,RPA,RPAロボパット,30,15
業務,RPA,SynchRoid,35,65
業務,RPA,WinActor,40,80
業務,RPA,WinActor®,70,35
業務,RPA,ナイス・ロボティックオートメーション,60,75
業務,RPA,マクロマン,50,30
業務,RPA,ロボパットDX,30,75
業務,コミュニケーション,postalk（ポストーク）,20,15
業務,コミュニケーション,Postbia,55,50
業務,コミュニケーション,Colla,20,50
業務,コミュニケーション,Nerve,45,95
業務,コミュニケーション,D-Agree,10,15
業務,コミュニケーション,InsuiteX,60,40
業務,コミュニケーション,Strap,30,50
業務,コミュニケーション,安否コール,20,60
業務,コミュニケーション,MeDaCa Pro,55,95
業務,コミュニケーション,MiiLike(ミライク),50,100
業務,コミュニケーション,soko-co,50,30
業務,コミュニケーション,OriHime eye + Switch,45,45
業務,コミュニケーション,We. for Remote Work,25,25
業務,コミュニケーション,gamba! ガンバ,65,20
業務,コミュニケーション,SONR,30,80
業務,コミュニケーション,SONR.,50,85
業務,コミュニケーション,Talknote,55,60
業務,コミュニケーション,TUNAG,50,55
業務,コミュニケーション,社内報アプリ,45,95
業務,コミュニケーション,KYO-YU,60,40
業務,コミュニケーション,Confluence,60,40
業務,コミュニケーション,DocBase,60,25
業務,コミュニケーション,eas,55,80
業務,コミュニケーション,InSite,15,80
業務,コミュニケーション,Liferay DXP,35,85
業務,コミュニケーション,nipo,50,35
業務,コミュニケーション,reporu,45,100
業務,コミュニケーション,Stock,55,60
業務,コミュニケーション,TRACERY（トレーサリー）,50,100
業務,コミュニケーション,welog,65,85
業務,コミュニケーション,ソクシル,55,90
業務,コミュニケーション,情報共有システム,45,75
業務,コミュニケーション,Quden,30,45
業務,コミュニケーション,Vet’sGO,30,75
業務,コミュニケーション,FieldPlus,60,45
業務,コミュニケーション,営業日報 MarkⅡ,15,60
業務,コミュニケーション,日報365,25,50
業務,コミュニケーション,未来日報,50,15
業務,コミュニケーション,pocketpost home,15,100
業務,コミュニケーション,WealthPark,15,75
業務,コミュニケーション,Hylable Discussion,60,90
業務,コラボレーション,バーチャルランチクラブ,35,20
業務,日程調整,Adjusty（アジャスティ）,45,40
業務,日程調整,Aipo アイポ,30,50
業務,日程調整,eeasy,35,70
業務,日程調整,jicoo,15,50
業務,日程調整,Nitte,50,15
業務,日程調整,Spir,30,25
業務,日程調整,TimeCrowd（タイムクラウド）,15,25
業務,日程調整,TimeRex,70,50
業務,日程調整,TimeTree,70,60
業務,日程調整,waaq Link,20,70
業務,日程調整,スケコン,50,10
業務,日程調整,ノリスケ,70,15
業務,日程調整,Calsket,25,90
業務,日程調整,Lifebear,70,90
業務,日程調整,eセールスマネージャーnano,45,55
業務,タスク管理,ReTask,45,75
業務,タスク管理,TeamToDO,35,45
業務,タスク管理,Time Designer,65,20
業務,チャット,Beat Shuffle,15,35
業務,チャット,ChatLuck,50,45
業務,チャット,Chatwork,70,80
業務,チャット,CScloud シーエスクラウド,50,75
業務,チャット,direct ダイレクト,35,55
業務,チャット,elgana,15,45
業務,チャット,InCircle,60,100
業務,チャット,LINE WORKS,15,35
業務,チャット,mend,40,75
業務,チャット,Parque,20,25
業務,チャット,SMART Message,20,35
業務,チャット,TEンWA テンワ,15,50
業務,チャット,TopicRoom,20,55
業務,チャット,Typetalk,35,95
業務,チャット,WowTalk,15,30
業務,チャット,Zoho Connect,15,35
業務,チャット,チャネルトーク,20,15
業務,チャット,M-Talk,40,45
業務,チャット,Chatbond,70,25
業務,チャットボット,AI Messenger,25,65
業務,チャットボット,AI-FAQボット,40,75
業務,チャットボット,AI.BiS,30,25
業務,チャットボット,AIさくらさん,45,15
業務,チャットボット,anybot,15,70
業務,チャットボット,BEDORE,10,85
業務,チャットボット,Benefitter,15,80
業務,チャットボット,BOTCHAN,40,80
業務,チャットボット,CAIWA Service Viii,30,90
業務,チャットボット,Chat Meet,60,15
業務,チャットボット,CHORDSHIP,45,85
業務,チャットボット,CLOVA Chatbot,50,40
業務,チャットボット,Cogmo Attend,15,45
業務,チャットボット,Collam,15,80
業務,チャットボット,COTOHA Chat & FAQ,55,70
業務,チャットボット,CScloud,60,35
業務,チャットボット,Desse,15,50
業務,チャットボット,FirstContact,40,90
業務,チャットボット,goo AI x DESIGN,65,35
業務,チャットボット,GoQSmile,70,50
業務,チャットボット,hachidori,55,20
業務,チャットボット,hitobo,65,35
業務,チャットボット,HubSpot,30,70
業務,チャットボット,IFRO,65,80
業務,チャットボット,KARAKURI,70,60
業務,チャットボット,LINC Biz bot,20,45
業務,チャットボット,LOOGUE FAQ,40,45
業務,チャットボット,minarai CS chat,40,65
業務,チャットボット,MOBI BOT,40,55
業務,チャットボット,My-ope office,25,100
業務,チャットボット,OfficeBot,55,35
業務,チャットボット,OKBIZ. for AI Chatbot,20,95
業務,チャットボット,Penglue,20,85
業務,チャットボット,PEP,20,10
業務,チャットボット,Rebot リボット,65,20
業務,チャットボット,Revive(リバイブ),50,30
業務,チャットボット,Robee,60,20
業務,チャットボット,sAI Chat,25,85
業務,チャットボット,sinclo,50,75
業務,チャットボット,SMART Message BOT,65,25
業務,チャットボット,Support Chatbot,55,90
業務,チャットボット,SYNALIO（シナリオ）,65,75
業務,チャットボット,TalkQA,65,65
業務,チャットボット,Third AI,45,95
業務,チャットボット,WhatYa,70,70
業務,チャットボット,Zeals,15,50
業務,チャットボット,サポートチャットボット,30,35
業務,チャットボット,スグレス,35,85
業務,チャットボット,チャットディーラー,25,95
業務,チャットボット,チャットプラス,35,75
業務,チャットボット,ビズリンクAIチャットボット,20,15
業務,チャットボット,AI CHAT,25,30
業務,チャットボット,KUZEN,70,40
業務,チャットボット,QA ENGINE,15,55
業務,チャットボット,tripla AIチャットボット,30,95
業務,チャットボット,hitTO,30,90
業務,チャットボット,Motto-Bot（モットボット）,20,75
業務,チャットボット,RESEROBO（リザーボ）,20,65
